"parent","child","instanceName","symbolType"
"subLayerText copy","layer2TextIcon","","graphic"
"subLayerText copy","layerOptionsBG","","graphic"
"subLayerText copy","layer2TextIcon","","graphic"
"subLayerText","layerOptionsBG","","graphic"
"subLayerText","layer1TextIcon","","graphic"
"subLayerText","layerOptionsBG","","graphic"
"subLayerText","layer1TextIcon","","graphic"
"subLayerText","layerOptionsBG","","graphic"
"subLayerText","layer1TextIcon","","graphic"
"subLayerText","layerOptionsBG","","graphic"
"subLayerText","layer1TextIcon","","graphic"
"tegakiPreset0","pboxChild/colorpreset","","button"
"tegakiPreset0","pboxChild/colorpreset","","button"
"tegakiPreset1","pboxChild/colorpreset","","button"
"tegakiPreset1","pboxChild/colorpreset","","button"
"tegakiPreset2","pboxChild/colorpreset","","button"
"tegakiPreset2","pboxChild/colorpreset","","button"
"tegakiPreset3","pboxChild/colorpreset","","button"
"tegakiPreset3","pboxChild/colorpreset","","button"
"tegakiPreset4","pboxChild/colorpreset","","button"
"tegakiPreset4","pboxChild/colorpreset","","button"
"toolFillPenButton","toolBoxBG2","","button"
"toolFillPenButton","toolmenuChild/toolFillPenIcon","","graphic"
"toolHand","toolmenuChild/toolBoxBG2","","button"
"toolHand","toolmenuChild/toolHandIcon","","graphic"
"ToolMenuSet","toolmenuChild/toolPenButton","toolPen","button"
"ToolMenuSet","toolmenuChild/moveButton","toolMove","button"
"ToolMenuSet","toolmenuChild/redoButton","toolRedo","button"
"ToolMenuSet","toolmenuChild/rotateButton","toolRotate","button"
"ToolMenuSet","toolmenuChild/spuitButton","toolEyedropper","button"
"ToolMenuSet","toolmenuChild/mirrorButton","toolMirror","button"
"ToolMenuSet","toolmenuChild/lassoButton","toolLasso","button"
"ToolMenuSet","toolmenuChild/lineButton2","toolLine","button"
"ToolMenuSet","toolmenuChild/toolEraseButton","toolEraser","button"
"ToolMenuSet","topMenuChild/refLayerMenuButton","toolRefLayer","button"
"ToolMenuSet","toolmenuChild/toolFillPenButton","toolFillPen","button"
"ToolMenuSet","toolmenuChild/zoomInButton","toolZoomIn","button"
"ToolMenuSet","toolmenuChild/zoomOutButton","toolZoomOut","button"
"ToolMenuSet","toolmenuChild/toolSelectCursor","toolSelectCursor","button"
"ToolMenuSet","toolmenuChild/undoButton","toolUndo","button"
"ToolMenuSet","LassoMenuChild/lassoOKButton","toolFillPenOK","button"
"ToolMenuSet","LassoMenuChild/lassoCancelButton","toolFillPenCancel","button"
"ToolMenuSet","toolHand","toolHand","button"
"ToolMenuSet2","toolmenuChild/icons/toolBoxBGLight","toolBoxBG2","button"
"ToolMenuSet2","etc/bg2","toolBoxBG","button"
"ToolMenuSet2","toolmenuChild/zoomButton","toolZoom","button"
"ToolMenuSet2","toolmenuChild/toolPenButton","toolPen","button"
"ToolMenuSet2","toolmenuChild/undoButton","toolUndo","button"
"ToolMenuSet2","toolmenuChild/moveButton","toolMove","button"
"ToolMenuSet2","toolmenuChild/redoButton","toolRedo","button"
"ToolMenuSet2","toolmenuChild/rotateButton","toolRotate2","button"
"ToolMenuSet2","toolmenuChild/spuitButton","toolEyedropper","button"
"ToolMenuSet2","toolmenuChild/mirrorButton","toolMirror","button"
"ToolMenuSet2","toolmenuChild/lassoButton","toolLasso","button"
"ToolMenuSet2","toolmenuChild/lineButton2","toolLine","button"
"ToolMenuSet2","toolmenuChild/toolEraseButton","toolEraser","button"
"ToolMenuSet2","topMenuChild/refLayerMenuButton","toolRefLayer","button"
"ToolMenuSet2","toolmenuChild/toolFillPenButton","toolFillPen","button"
"ToolMenuSet2","toolmenuChild/quickSidebarButton","toolQuickSidebar","button"
"ToolOptionsSet","PenControlBoxChild/shapeRectGrid","rectSizeSet","button"
"ToolOptionsSet","PenControlBoxChild/penSizeGuide","penSizeGuide","button"
"ToolOptionsSet","PenControlBoxChild/pixelSnapButton1","sharpLineONButton","button"
"ToolOptionsSet","PenControlBoxChild/pixelSnapButton2","sharpLineOFFButton","button"
"ToolOptionsSet","PenControlBoxChild/penBoxShapeRect","shapeRect","button"
"ToolOptionsSet","PenControlBoxChild/penboxShapeCircle","shapeCircle","button"
"ToolOptionsSet","PenControlBoxChild/pixelSnapButton1","airBrushONButton","button"
"ToolOptionsSet","PenControlBoxChild/pixelSnapButton2","airBrushOFFButton","button"
"ToolOptionsSet","PenControlBoxChild/penSizeSelectCursor","penSizeSelectCursor","button"
"ToolOptionsSet","PenControlBoxChild/shapeCircleGrid","circleSizeSet","button"
"ToolOptionsSet","PenControlBoxChild/pixelSnapText","sharpLineText","button"
"ToolOptionsSet","PenControlBoxChild/airBrushText","airBrushText","button"
"ToolOptionsSet","PenControlBoxChild/subLayerText","layer1SelectButton","button"
"ToolOptionsSet","PenControlBoxChild/subLayerText copy","layer2SelectButton","button"
"ToolOptionsSet","PenControlBoxChild/layerSwapButton","layerSwapButton","button"
